conv_id,div_mean,div_variance,div_trend,div_max_spike,div_range,div_n_pairs,expr_mean,expr_variance,expr_trend,expr_range,expr_early_mean,expr_late_mean,expr_shift,repair_rate,constraint_pressure,hedge_assert_ratio,ai_refusal_rate,goal_drift_mean,goal_drift_variance,goal_stability,length_ratio,affect_mean,affect_variance,affect_trend,affect_range,affect_max,affect_min,affect_peak_count,affect_valley_count,valence_mean,valence_variance,valence_trend,n_messages,n_messages_log,n_user_messages,n_ai_messages,user_avg_length,ai_avg_length,user_length_var,ai_length_var
chatbot_arena_0001,0.14486447600482688,0.0062167511876803794,-0.11150561589158081,0.2006172839506173,0.11150561589158081,2,0.375,0.0625,-0.05,0.5,0.5,0.25,-0.25,0.0,0.0,0.5,1.5,0.8571428571428572,0.0,0.1428571428571428,10.0,0.418025,0.0004246425,0.003570000000000001,0.046499999999999986,0.4402,0.3937,1,0,0.51185,0.0014580300000000014,0.01454000000000002,4,1.6094379124341003,2,2,8,108.5,2,5304.5
chatbot_arena_0003,0.11648569582006116,0.032790316766534676,-0.16047220323536113,0.3253968253968254,0.32094440647072225,3,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5843137254901961,0.24362937331795462,0.4156862745098039,6.266666666666667,0.3994,1.3764000000000079e-05,-0.00042857142857143056,0.01040000000000002,0.406,0.3956,1,2,0.8535833333333334,0.0025749656666666674,0.02660857142857143,6,1.9459101490553132,3,3,20,125.33333333333333,324,38558.333333333336
chatbot_arena_0005,0.0617962502024071,0.0024452654289806265,-0.048301105823449424,0.11621477937267412,0.09660221164689885,3,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.5961538461538461,0.19732084155161078,0.40384615384615385,0.8211920529801324,0.3964,1.784000000000011e-05,0.0007714285714285737,0.011800000000000033,0.4011,0.3893,1,1,0.7794,0.02007326400000001,0.022405714285714282,6,1.9459101490553132,3,3,50.333333333333336,41.333333333333336,42.333333333333336,108.33333333333333
chatbot_arena_0008,0.18475558596278102,0.0014513630665735214,-0.05387695363647654,0.2116940627810193,0.05387695363647654,2,0.375,0.0625,0.05,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.0,0.9285714285714286,0.0,0.0714285714285714,10.0,0.577575,0.04704652249999999,-0.15641,0.46169999999999994,0.8542,0.3925,0,1,0.365125,0.036212602499999996,0.13731,4,1.6094379124341003,2,2,19.5,205,364.5,882
chatbot_arena_0009,0.21063189813189814,0.00019500448470408617,-0.01974864474864471,0.22050622050622048,0.01974864474864471,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.8461538461538461,0.0,0.15384615384615385,8.6,0.403625,0.0003242825000000007,-0.011410000000000014,0.039400000000000046,0.4302,0.3908,0,1,0.5913999999999999,0.01483182,0.02075999999999998,4,1.6094379124341003,2,2,7.5,64.5,0.5,180.5
chatbot_arena_0010,0.25816498316498315,0.02671395492523438,-0.23114478114478113,0.3737373737373737,0.23114478114478113,2,0.125,0.0625,0.05,0.5,0.0,0.25,0.25,0.0,0.0,1.0,0.0,0.9166666666666666,0.0,0.08333333333333337,10.0,0.4542,0.0050679933333333356,0.008660000000000006,0.14900000000000002,0.5602,0.4112,1,1,0.506575,0.010653922499999994,-0.02337000000000001,4,1.6094379124341003,2,2,7.5,133.5,24.5,12324.5
chatbot_arena_0011,0.08333333333333333,0.013888888888888888,-0.16666666666666666,0.16666666666666666,0.16666666666666666,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.3333333333333333,0.403625,0.00029254916666666644,-0.01175,0.0388,0.4286,0.3898,0,0,0.658575,0.02978824916666666,-0.08124999999999999,4,1.6094379124341003,2,2,4.5,6,24.5,0
chatbot_arena_0012,0.16269841269841268,0.005322499370118417,-0.10317460317460317,0.21428571428571427,0.10317460317460317,2,0.25,0.08333333333333333,-0.2,0.5,0.5,0.0,-0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.6,0.4024,0.00014152000000000015,-0.007000000000000006,0.02460000000000001,0.4202,0.3956,1,1,0.647575,0.01627046916666667,-0.06757,4,1.6094379124341003,2,2,5,8,18,2
chatbot_arena_0014,0.14161522633744855,0.01679660906619926,0.1271604938271605,0.254320987654321,0.254320987654321,3,0.6666666666666666,0.06666666666666667,0.08571428571428572,0.5,0.5,0.8333333333333334,0.33333333333333337,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.111111111111112,0.5333666666666667,0.02411263866666666,0.05114857142857142,0.41659999999999997,0.8199,0.4033,1,2,0.5685833333333333,0.09399529766666667,-0.0755742857142857,6,1.9459101490553132,3,3,3,12.333333333333334,3,96.33333333333333
chatbot_arena_0015,0.15894405729771582,0.0034498361727091083,0.08306426635694929,0.20047619047619047,0.08306426635694929,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,10.0,0.398625,2.2275833333333253e-05,-0.0018499999999999905,0.010099999999999998,0.4054,0.3953,1,1,0.681025,0.011707509166666664,-0.03167,4,1.6094379124341003,2,2,5,83,8,3528
